id,answer,instruction,option_a,option_b,option_c,option_d,option_e
ARC-Challenge/train/Mercury_SC_408447,C,Þegar Archie gengur að garðinum veltir hann fyrir sér hvaða leið væri fljótlegri. Hann ákveður að ganga að garðinum á mismunandi leiðum og tíma og hversu langan tíma það tekur. Hvað á hann að gera til að gera samanburðinn sanngjarnan?,ganga í mismunandi hluta garðsins á hverjum degi,ganga með öðrum vini á hverjum degi,ganga á sama hraða á hverjum degi,ganga á sama tíma dags,
ARC-Challenge/train/LEAP_2006_8_10413,C,Hver af þessum greinum skilgreinir smitsjúkdóma best?,Það er hægt að lækna þá.,Þær eru af völdum baktería.,Þær berast til annarra.,Þær geta ekki breiðst út nema að vetri til.,
ARC-Challenge/train/Mercury_SC_405514,D,Nemandi ætlar að hanna nýjan tannkremstúbu sem gefur jafn mikið af tannkremi í hvert skipti sem það er kreist. Hvað á nemandi að gera fyrst þegar hannar nýja túbu?,gera gagnatöflu um magn tannkrems,safna byggingarefni,búa til líkön af gömlum tannkremsglösum,draga fram nokkrar mögulegar lausnir,
ARC-Challenge/train/Mercury_7145478,D,Margir áburðargjafar innihalda lífræn efni sem eru nytsamleg fyrir garðyrkju en hafa önnur áhrif þegar regnið veldur því að þau renna af stað í ferskvatnsvistkerfi. Hvaða áhrif hefur viðbót lífræns úrgangs frá áburði helst á ferskvatnsvistkerfi?,auka líffræðilega fjölbreytni,aukin vatnsglærni,minnkandi þörungablómi,minnkandi súrefnismagn,
ARC-Challenge/train/Mercury_7007910,B,"Hvað gerist líklegast þegar kaldur loftmassi kemst í snertingu við hlýjan, raka loftmassa?",Himininn verður heiðskýr.,Rigning eða snjókoma fer að falla.,Kalt loft er þrýst upp í háloftin.,Hlýju lofti er þrýst niður á jörðu.,
ARC-Challenge/train/Mercury_7159530,D,Rolando vill sjá við hvaða hitastig ýmsir vökvar sjóða. Hann sjóðar kranavatn og skráir hitastigið. Hann sjóðar síðan kranavatn með viðbættri mjólk og kranavatn með viðbættum sykri. Hver er tilgangurinn með því að sjóða fyrst venjulegt kranavatn?,að setja inn þátt til að hagræða,að hafa mögulega skýringu á vandamáli,að breyta einni breytu á meðan hinar eru skoðaðar,að setja staðal til að bera saman niðurstöður,
ARC-Challenge/train/Mercury_184293,D,Hver þessara fullyrðinga er réttust um Sólina?,Þar er óendanlegt orkuframboð.,Það er að ljúka lífsferli sínum.,Það er á frumstigi hvað varðar orkunotkun.,Það hefur notað um það bil helming af nothæfri orku sinni.,
ARC-Challenge/train/Mercury_SC_400160,A,Eftirfarandi eru arfgengir eiginleikar manna nema,hár.,blá augu.,löngum augnhárum.,litlar dílur.,
ARC-Challenge/train/VASoL_2007_3_6,C,Votlendisbúsvæði geta haldið áfram að styðja við fugla og fiska sem þar lifa ef fólk ___.,tæma vatnið frá sér,flóð á hæstu stöðum landsins,láta landið í friði,nýta landið til gróðursetningar nytjaplantna,
ARC-Challenge/train/Mercury_406888,B,Hvaða mæling lýsir hreyfingu gúmmíkúlu?,5 cm,10 m/s,15 njúton,50 grömm,
ARC-Challenge/train/Mercury_7222355,B,"Litirnir sem eru sýnilegir og eru skráðir frá stystu bylgjulengd til lengstu bylgjulengdar eru fjólublár, blár, grænn, gulur, appelsínugulur og rauður. Hvort af eftirfarandi ber nákvæmlega saman tíðni þessara lita með þessum upplýsingum?",Blár litur hefur hærri tíðni en fjólublár.,Blár litur er með hærri tíðni en grænn.,Hærri tíðni er í appelsínugulum lit en rauðum.,Fjólublár litur er með lægri tíðni en gulur.,
ARC-Challenge/train/Mercury_LBS10252,C,Allt eftirfarandi inniheldur mælieiningar nema,"g, kg, cg","dL, L, mL","ft, yd, mi","N, J, W",
ARC-Challenge/train/MDSA_2007_8_19,C,Leikfangabíll veltur á jöfnum hraða niður beina hallandi braut. Þegar bíllinn nær flata svæðinu neðst á hallandi brautinni minnkar hraði bílsins. Hvor staðhæfingin skýrir best hvers vegna hraði bílsins minnkar þegar hann nær flata svæðinu?,Þyngdarkrafturinn sem verkar á bílinn eykst.,Þyngdarkrafturinn sem verkar á bílinn minnkar.,Kraftarnir sem hafa áhrif á bílinn eru ekki í jafnvægi.,Kraftarnir sem hafa áhrif á bílinn eru í jafnvægi.,
ARC-Challenge/train/Mercury_7230545,D,Hvaða eiginleikar sjávaryfirborðsstrauma hafa áhrif á vindinn?,hreyfing vatns frá miðbaug,sveifluvídd í hæð háflóða,minnkun á hraða með fjarlægð frá pólum jarðar,sveigja vatns í átt að stefnu loftstreymis,
ARC-Challenge/train/NYSEDREGENTS_2005_8_28,A,Meginhlutverk meltingarkerfis mannsins er að,brjóta niður fæðu til að hún geti frásogast í blóðið,skipta á súrefni og koltvísýringi í lungunum,losa orku frá sykrum innan frumnanna,flytja næringarefni til allra líkamshluta,
ARC-Challenge/train/MCAS_2007_8_5169,B,Hvert eftirfarandi er dæmi um myndun blöndu?,ryð myndast á járnnál,sykurskrístar sem leysast upp í vatni,Natríum- og klórefnablandað matarsalt,vetni og súrefni sem hvarfast og mynda vatn,
ARC-Challenge/train/Mercury_SC_401606,D,Hvort er tilgáta sem auðvelt er að prófa?,Tunglið veldur háflóðum.,Á hvaða árstíma eru sjávarföllin hæst?,Hvert er tímabil tunglsins þegar sjávarföll eru mest?,Þegar tunglið er fullt verða sjávarföllin mest.,
ARC-Challenge/train/Mercury_7183505,D,Þegar miklir vindar felldu furutré á skóglendi mynduðust glufur í þéttum trjágróðrinum og sólin gat fallið á jörðina. Aukið sólarljós varð til þess að hindberjaplöntur uxu þétt og vernduðu ungar furufræplöntur gegn því að grasbítar étu þær. Með tímanum uxu furufræplönturnar og vörðuðu sólarljós frá því að falla á skógarbotninn og hindruðu þannig vöxt fleiri hindberjaplantna. Hvað af þessum hugtökum lýsir best breytingaferlinu sem við sjáum í þessu skóglendissamfélagi?,aðlögun,samvinna,náttúrulegt val,vistfræðileg arftaka,
ARC-Challenge/train/TIMSS_2011_4_pg67,B,"Heitt, soðið egg er sett í bolla af köldu vatni. Hvað verður um hitastig vatnsins og eggsins?",Vatnið kólnar og eggið hlýnar.,Vatnið hlýnar og eggið kólnar.,Hitastig vatnsins helst óbreytt og eggið kólnar.,Bæði vatnið og eggið hitnar.,
ARC-Challenge/train/Mercury_7170433,D,Emily er að hjóla. Hvort skýrir best hvers vegna aðeins hluti af orkunni sem fer í að pedala hjólið hennar fer í að hreyfa hjólið áfram?,Orka hjóladekksins er sett á í hringhreyfingu.,Orka hjólsins flyst aðeins á annað hjólið.,Gír og keðja hjólsins eru þakin olíu.,Gír og keðja hjólsins mynda núning.,
